term_code,module_code,class_name,course_title,section_code,instruction_type_name,capacity,enrolled,seats_available,waitlist_capacity,waitlist_enrolled,waitlist_available,status,is_cancelled,instructors_text
FA26,ANTH-299,ANTH 299,Dissertation Research,005-000-IN,in,8,0,8,,,,AC,false,Zachary Dunseth
FA26,ANTH-299,ANTH 299,Dissertation Research,006-000-IN,in,8,0,8,,,,AC,false,Keolu Fox
FA26,ANTH-299,ANTH 299,Dissertation Research,007-000-IN,in,8,0,8,,,,AC,false,Pascal Gagneux
FA26,ANTH-299,ANTH 299,Dissertation Research,008-000-IN,in,8,0,8,,,,AC,false,Paul Goldstein
FA26,ANTH-299,ANTH 299,Dissertation Research,009-000-IN,in,8,0,8,,,,AC,false,Joseph Hankins
FA26,ANTH-299,ANTH 299,Dissertation Research,010-000-IN,in,8,0,8,,,,AC,false,John Haviland
FA26,ANTH-299,ANTH 299,Dissertation Research,011-000-IN,in,8,0,8,,,,AC,false,Aftab Jassal
FA26,ANTH-299,ANTH 299,Dissertation Research,012-000-IN,in,8,0,8,,,,AC,false,Janis Jenkins
FA26,ANTH-299,ANTH 299,Dissertation Research,013-000-IN,in,8,0,8,,,,AC,false,Nayeli Jiménez Cano
FA26,ANTH-299,ANTH 299,Dissertation Research,014-000-IN,in,8,0,8,,,,AC,false,Bonnie Kaiser
FA26,ANTH-299,ANTH 299,Dissertation Research,015-000-IN,in,8,0,8,,,,AC,false,Dredge Kang
FA26,ANTH-299,ANTH 299,Dissertation Research,016-000-IN,in,8,0,8,,,,AC,false,Nayeli Jiménez Cano
FA26,ANTH-299,ANTH 299,Dissertation Research,017-000-IN,in,8,0,8,,,,AC,false,Thomas Levy
FA26,ANTH-299,ANTH 299,Dissertation Research,018-000-IN,in,8,0,8,,,,AC,false,Maria Marchetto
FA26,ANTH-299,ANTH 299,Dissertation Research,019-000-IN,in,8,0,8,,,,AC,false,Amy Non
FA26,ANTH-299,ANTH 299,Dissertation Research,020-000-IN,in,8,0,8,,,,AC,false,Steven Parish
FA26,ANTH-299,ANTH 299,Dissertation Research,021-000-IN,in,8,0,8,,,,AC,false,David Pedersen
